Date,Away team,Home team
6/18/2021,Cleveland Indians,Pittsburgh Pirates
6/18/2021,Cincinnati Reds,San Diego Padres
6/18/2021,Tampa Bay Rays,Seattle Mariners
6/18/2021,Philadelphia Phillies,San Francisco Giants
6/18/2021,Minnesota Twins,Texas Rangers
6/18/2021,New York Mets,Washington Nationals
6/19/2021,Detroit Tigers,Los Angeles Angels
6/19/2021,Los Angeles Dodgers,Arizona D'Backs
6/19/2021,Toronto Blue Jays,Baltimore Orioles
6/19/2021,Miami Marlins,Chicago Cubs
6/19/2021,Milwaukee Brewers,Colorado Rockies
6/19/2021,Chicago White Sox,Houston Astros
6/19/2021,Boston Red Sox,Kansas City Royals
6/19/2021,Oakland Athletics,New York Yankees
6/19/2021,Cleveland Indians,Pittsburgh Pirates
6/19/2021,Cincinnati Reds,San Diego Padres
6/19/2021,Tampa Bay Rays,Seattle Mariners
6/19/2021,Philadelphia Phillies,San Francisco Giants
6/19/2021,Minnesota Twins,Texas Rangers
6/19/2021,New York Mets,Washington Nationals
6/19/2021,New York Mets,Washington Nationals
6/20/2021,Detroit Tigers,Los Angeles Angels
6/20/2021,Los Angeles Dodgers,Arizona D'Backs
6/20/2021,St. Louis Cardinals,Atlanta Braves
6/20/2021,St. Louis Cardinals,Atlanta Braves
6/20/2021,Toronto Blue Jays,Baltimore Orioles
6/20/2021,Miami Marlins,Chicago Cubs
6/20/2021,Milwaukee Brewers,Colorado Rockies
6/20/2021,Chicago White Sox,Houston Astros
6/20/2021,Boston Red Sox,Kansas City Royals
6/20/2021,Oakland Athletics,New York Yankees
6/20/2021,Cleveland Indians,Pittsburgh Pirates
6/20/2021,Cincinnati Reds,San Diego Padres
6/20/2021,Tampa Bay Rays,Seattle Mariners
6/20/2021,Philadelphia Phillies,San Francisco Giants
6/20/2021,Minnesota Twins,Texas Rangers
6/20/2021,New York Mets,Washington Nationals
6/21/2021,Milwaukee Brewers,Arizona D'Backs
6/21/2021,Houston Astros,Baltimore Orioles
6/21/2021,Cleveland Indians,Chicago Cubs
6/21/2021,Cincinnati Reds,Minnesota Twins
6/21/2021,Atlanta Braves,New York Mets
6/21/2021,Atlanta Braves,New York Mets
6/21/2021,Los Angeles Dodgers,San Diego Padres
6/21/2021,Oakland Athletics,Texas Rangers
6/22/2021,San Francisco Giants,Los Angeles Angels
6/22/2021,Milwaukee Brewers,Arizona D'Backs
6/22/2021,Houston Astros,Baltimore Orioles
6/22/2021,Cleveland Indians,Chicago Cubs
6/22/2021,St. Louis Cardinals,Detroit Tigers
6/22/2021,Toronto Blue Jays,Miami Marlins
6/22/2021,Cincinnati Reds,Minnesota Twins
6/22/2021,Kansas City Royals,New York Yankees
6/22/2021,Atlanta Braves,New York Mets
6/22/2021,Washington Nationals,Philadelphia Phillies
6/22/2021,Chicago White Sox,Pittsburgh Pirates
6/22/2021,Los Angeles Dodgers,San Diego Padres
6/22/2021,Colorado Rockies,Seattle Mariners
6/22/2021,Boston Red Sox,Tampa Bay Rays
6/22/2021,Oakland Athletics,Texas Rangers
6/23/2021,San Francisco Giants,Los Angeles Angels
6/23/2021,Milwaukee Brewers,Arizona D'Backs
6/23/2021,Houston Astros,Baltimore Orioles
6/23/2021,St. Louis Cardinals,Detroit Tigers
6/23/2021,Toronto Blue Jays,Miami Marlins
6/23/2021,Kansas City Royals,New York Yankees
6/23/2021,Atlanta Braves,New York Mets
6/23/2021,Washington Nationals,Philadelphia Phillies
6/23/2021,Chicago White Sox,Pittsburgh Pirates
6/23/2021,Los Angeles Dodgers,San Diego Padres
6/23/2021,Colorado Rockies,Seattle Mariners
6/23/2021,Boston Red Sox,Tampa Bay Rays
6/23/2021,Oakland Athletics,Texas Rangers
6/24/2021,Atlanta Braves,Cincinnati Reds
6/24/2021,Houston Astros,Detroit Tigers
6/24/2021,Chicago Cubs,Los Angeles Dodgers
6/24/2021,Washington Nationals,Miami Marlins
6/24/2021,Cleveland Indians,Minnesota Twins
6/24/2021,Kansas City Royals,New York Yankees
6/24/2021,Pittsburgh Pirates,St. Louis Cardinals
6/24/2021,Boston Red Sox,Tampa Bay Rays
6/24/2021,Oakland Athletics,Texas Rangers
6/24/2021,Baltimore Orioles,Toronto Blue Jays
6/25/2021,New York Yankees,Boston Red Sox
6/25/2021,Seattle Mariners,Chicago White Sox
6/25/2021,Atlanta Braves,Cincinnati Reds
6/25/2021,Chicago Cubs,Los Angeles Dodgers
6/25/2021,Washington Nationals,Miami Marlins
6/25/2021,Colorado Rockies,Milwaukee Brewers
6/25/2021,Cleveland Indians,Minnesota Twins
6/25/2021,Philadelphia Phillies,New York Mets
6/25/2021,Philadelphia Phillies,New York Mets
6/25/2021,Arizona D'Backs,San Diego Padres
6/25/2021,Oakland Athletics,San Francisco Giants
6/25/2021,Pittsburgh Pirates,St. Louis Cardinals
6/25/2021,Los Angeles Angels,Tampa Bay Rays
6/25/2021,Kansas City Royals,Texas Rangers
6/25/2021,Baltimore Orioles,Toronto Blue Jays
6/26/2021,New York Yankees,Boston Red Sox
6/26/2021,Seattle Mariners,Chicago White Sox
6/26/2021,Atlanta Braves,Cincinnati Reds
6/26/2021,Houston Astros,Detroit Tigers
6/26/2021,Houston Astros,Detroit Tigers
6/26/2021,Chicago Cubs,Los Angeles Dodgers
6/26/2021,Washington Nationals,Miami Marlins
6/26/2021,Colorado Rockies,Milwaukee Brewers
6/26/2021,Philadelphia Phillies,New York Mets
6/26/2021,Arizona D'Backs,San Diego Padres
6/26/2021,Oakland Athletics,San Francisco Giants
6/26/2021,Pittsburgh Pirates,St. Louis Cardinals
6/26/2021,Los Angeles Angels,Tampa Bay Rays
6/26/2021,Kansas City Royals,Texas Rangers
6/26/2021,Baltimore Orioles,Toronto Blue Jays
6/27/2021,New York Yankees,Boston Red Sox
6/27/2021,Seattle Mariners,Chicago White Sox
6/27/2021,Atlanta Braves,Cincinnati Reds
6/27/2021,Houston Astros,Detroit Tigers
6/27/2021,Chicago Cubs,Los Angeles Dodgers
6/27/2021,Washington Nationals,Miami Marlins
6/27/2021,Colorado Rockies,Milwaukee Brewers
6/27/2021,Cleveland Indians,Minnesota Twins
6/27/2021,Philadelphia Phillies,New York Mets
6/27/2021,Arizona D'Backs,San Diego Padres
6/27/2021,Oakland Athletics,San Francisco Giants
6/27/2021,Pittsburgh Pirates,St. Louis Cardinals
6/27/2021,Los Angeles Angels,Tampa Bay Rays
6/27/2021,Kansas City Royals,Texas Rangers
6/27/2021,Baltimore Orioles,Toronto Blue Jays
6/28/2021,Kansas City Royals,Boston Red Sox
6/28/2021,Philadelphia Phillies,Cincinnati Reds
6/28/2021,Detroit Tigers,Cleveland Indians
6/28/2021,Pittsburgh Pirates,Colorado Rockies
6/28/2021,Baltimore Orioles,Houston Astros
6/28/2021,San Francisco Giants,Los Angeles Dodgers
6/28/2021,Chicago Cubs,Milwaukee Brewers
6/28/2021,Los Angeles Angels,New York Yankees
6/28/2021,Arizona D'Backs,St. Louis Cardinals
6/28/2021,New York Mets,Washington Nationals
6/29/2021,New York Mets,Atlanta Braves
6/29/2021,Kansas City Royals,Boston Red Sox
6/29/2021,Minnesota Twins,Chicago White Sox
6/29/2021,San Diego Padres,Cincinnati Reds
6/29/2021,Pittsburgh Pirates,Colorado Rockies
6/29/2021,Baltimore Orioles,Houston Astros
6/29/2021,San Francisco Giants,Los Angeles Dodgers
6/29/2021,Chicago Cubs,Milwaukee Brewers
6/29/2021,Los Angeles Angels,New York Yankees
6/29/2021,Texas Rangers,Oakland Athletics
6/29/2021,Miami Marlins,Philadelphia Phillies
6/29/2021,Arizona D'Backs,St. Louis Cardinals
6/29/2021,Seattle Mariners,Toronto Blue Jays
6/29/2021,Tampa Bay Rays,Washington Nationals
6/30/2021,New York Mets,Atlanta Braves
6/30/2021,Kansas City Royals,Boston Red Sox
6/30/2021,Minnesota Twins,Chicago White Sox
6/30/2021,San Diego Padres,Cincinnati Reds
6/30/2021,Detroit Tigers,Cleveland Indians
6/30/2021,Detroit Tigers,Cleveland Indians
6/30/2021,Pittsburgh Pirates,Colorado Rockies
6/30/2021,Baltimore Orioles,Houston Astros
6/30/2021,Chicago Cubs,Milwaukee Brewers
6/30/2021,Los Angeles Angels,New York Yankees
6/30/2021,Texas Rangers,Oakland Athletics
6/30/2021,Miami Marlins,Philadelphia Phillies
6/30/2021,Arizona D'Backs,St. Louis Cardinals
6/30/2021,Seattle Mariners,Toronto Blue Jays
6/30/2021,Tampa Bay Rays,Washington Nationals
7/1/2021,San Francisco Giants,Arizona D'Backs
7/1/2021,New York Mets,Atlanta Braves
7/1/2021,Kansas City Royals,Boston Red Sox
7/1/2021,Minnesota Twins,Chicago White Sox
7/1/2021,San Diego Padres,Cincinnati Reds
7/1/2021,Houston Astros,Cleveland Indians
7/1/2021,St. Louis Cardinals,Colorado Rockies
7/1/2021,Texas Rangers,Oakland Athletics
7/1/2021,Milwaukee Brewers,Pittsburgh Pirates
7/1/2021,Seattle Mariners,Toronto Blue Jays
7/1/2021,Los Angeles Dodgers,Washington Nationals
7/2/2021,Baltimore Orioles,Los Angeles Angels
7/2/2021,San Francisco Giants,Arizona D'Backs
7/2/2021,Miami Marlins,Atlanta Braves
7/2/2021,Chicago Cubs,Cincinnati Reds
7/2/2021,Houston Astros,Cleveland Indians
7/2/2021,St. Louis Cardinals,Colorado Rockies
7/2/2021,Chicago White Sox,Detroit Tigers
7/2/2021,Minnesota Twins,Kansas City Royals
7/2/2021,Boston Red Sox,Oakland Athletics
7/2/2021,San Diego Padres,Philadelphia Phillies
7/2/2021,Milwaukee Brewers,Pittsburgh Pirates
7/2/2021,Texas Rangers,Seattle Mariners
7/2/2021,Tampa Bay Rays,Toronto Blue Jays
7/2/2021,Los Angeles Dodgers,Washington Nationals
7/3/2021,Baltimore Orioles,Los Angeles Angels
7/3/2021,San Francisco Giants,Arizona D'Backs
7/3/2021,Miami Marlins,Atlanta Braves
7/3/2021,Chicago Cubs,Cincinnati Reds
7/3/2021,Houston Astros,Cleveland Indians
7/3/2021,St. Louis Cardinals,Colorado Rockies
7/3/2021,Chicago White Sox,Detroit Tigers
7/3/2021,Minnesota Twins,Kansas City Royals
7/3/2021,New York Mets,New York Yankees
7/3/2021,Boston Red Sox,Oakland Athletics
7/3/2021,San Diego Padres,Philadelphia Phillies
7/3/2021,Milwaukee Brewers,Pittsburgh Pirates
7/3/2021,Texas Rangers,Seattle Mariners
7/3/2021,Tampa Bay Rays,Toronto Blue Jays
7/3/2021,Los Angeles Dodgers,Washington Nationals
7/4/2021,Baltimore Orioles,Los Angeles Angels
7/4/2021,San Francisco Giants,Arizona D'Backs
7/4/2021,Miami Marlins,Atlanta Braves
7/4/2021,Chicago Cubs,Cincinnati Reds
7/4/2021,Houston Astros,Cleveland Indians
7/4/2021,St. Louis Cardinals,Colorado Rockies
7/4/2021,Chicago White Sox,Detroit Tigers
7/4/2021,Minnesota Twins,Kansas City Royals
7/4/2021,New York Mets,New York Yankees
7/4/2021,New York Mets,New York Yankees
7/4/2021,Boston Red Sox,Oakland Athletics
7/4/2021,San Diego Padres,Philadelphia Phillies
7/4/2021,Milwaukee Brewers,Pittsburgh Pirates
7/4/2021,Texas Rangers,Seattle Mariners
7/4/2021,Tampa Bay Rays,Toronto Blue Jays
7/4/2021,Los Angeles Dodgers,Washington Nationals
7/5/2021,Boston Red Sox,Los Angeles Angels
7/5/2021,Philadelphia Phillies,Chicago Cubs
7/5/2021,Cincinnati Reds,Kansas City Royals
7/5/2021,Los Angeles Dodgers,Miami Marlins
7/5/2021,Chicago White Sox,Minnesota Twins
7/5/2021,Milwaukee Brewers,New York Mets
7/5/2021,Atlanta Braves,Pittsburgh Pirates
7/5/2021,Washington Nationals,San Diego Padres
7/5/2021,St. Louis Cardinals,San Francisco Giants
7/5/2021,Cleveland Indians,Tampa Bay Rays
7/5/2021,Detroit Tigers,Texas Rangers
7/6/2021,Boston Red Sox,Los Angeles Angels
7/6/2021,Colorado Rockies,Arizona D'Backs
7/6/2021,Toronto Blue Jays,Baltimore Orioles
7/6/2021,Philadelphia Phillies,Chicago Cubs
7/6/2021,Oakland Athletics,Houston Astros
7/6/2021,Cincinnati Reds,Kansas City Royals
7/6/2021,Los Angeles Dodgers,Miami Marlins
7/6/2021,Chicago White Sox,Minnesota Twins
7/6/2021,Atlanta Braves,Pittsburgh Pirates
7/6/2021,Washington Nationals,San Diego Padres
7/6/2021,New York Yankees,Seattle Mariners
7/6/2021,St. Louis Cardinals,San Francisco Giants
7/6/2021,Detroit Tigers,Texas Rangers
7/7/2021,Boston Red Sox,Los Angeles Angels
7/7/2021,Colorado Rockies,Arizona D'Backs
7/7/2021,Toronto Blue Jays,Baltimore Orioles
7/7/2021,Philadelphia Phillies,Chicago Cubs
7/7/2021,Oakland Athletics,Houston Astros
7/7/2021,Cincinnati Reds,Kansas City Royals
7/7/2021,Los Angeles Dodgers,Miami Marlins
7/7/2021,Chicago White Sox,Minnesota Twins
7/7/2021,Milwaukee Brewers,New York Mets
7/7/2021,Milwaukee Brewers,New York Mets
7/7/2021,Atlanta Braves,Pittsburgh Pirates
7/7/2021,Washington Nationals,San Diego Padres
7/7/2021,New York Yankees,Seattle Mariners
7/7/2021,St. Louis Cardinals,San Francisco Giants
7/7/2021,Cleveland Indians,Tampa Bay Rays
7/7/2021,Cleveland Indians,Tampa Bay Rays
7/7/2021,Detroit Tigers,Texas Rangers
7/8/2021,Colorado Rockies,Arizona D'Backs
7/8/2021,Philadelphia Phillies,Chicago Cubs
7/8/2021,Kansas City Royals,Cleveland Indians
7/8/2021,Oakland Athletics,Houston Astros
7/8/2021,Los Angeles Dodgers,Miami Marlins
7/8/2021,Cincinnati Reds,Milwaukee Brewers
7/8/2021,Detroit Tigers,Minnesota Twins
7/8/2021,Washington Nationals,San Diego Padres
7/8/2021,New York Yankees,Seattle Mariners
7/9/2021,Chicago White Sox,Baltimore Orioles
7/9/2021,Philadelphia Phillies,Boston Red Sox
7/9/2021,St. Louis Cardinals,Chicago Cubs
7/9/2021,Kansas City Royals,Cleveland Indians
7/9/2021,New York Yankees,Houston Astros
7/9/2021,Arizona D'Backs,Los Angeles Dodgers
7/9/2021,Atlanta Braves,Miami Marlins
7/9/2021,Cincinnati Reds,Milwaukee Brewers
7/9/2021,Detroit Tigers,Minnesota Twins
7/9/2021,Pittsburgh Pirates,New York Mets
7/9/2021,Colorado Rockies,San Diego Padres
7/9/2021,Los Angeles Angels,Seattle Mariners
7/9/2021,Washington Nationals,San Francisco Giants
7/9/2021,Toronto Blue Jays,Tampa Bay Rays
7/9/2021,Oakland Athletics,Texas Rangers
7/10/2021,Chicago White Sox,Baltimore Orioles
7/10/2021,Philadelphia Phillies,Boston Red Sox
7/10/2021,St. Louis Cardinals,Chicago Cubs
7/10/2021,Kansas City Royals,Cleveland Indians
7/10/2021,New York Yankees,Houston Astros
7/10/2021,Arizona D'Backs,Los Angeles Dodgers
7/10/2021,Atlanta Braves,Miami Marlins
7/10/2021,Cincinnati Reds,Milwaukee Brewers
7/10/2021,Detroit Tigers,Minnesota Twins
7/10/2021,Pittsburgh Pirates,New York Mets
7/10/2021,Pittsburgh Pirates,New York Mets
7/10/2021,Colorado Rockies,San Diego Padres
7/10/2021,Los Angeles Angels,Seattle Mariners
7/10/2021,Washington Nationals,San Francisco Giants
7/10/2021,Toronto Blue Jays,Tampa Bay Rays
7/10/2021,Oakland Athletics,Texas Rangers
7/11/2021,Chicago White Sox,Baltimore Orioles
7/11/2021,Philadelphia Phillies,Boston Red Sox
7/11/2021,New York Yankees,Houston Astros
7/11/2021,Arizona D'Backs,Los Angeles Dodgers
7/11/2021,Atlanta Braves,Miami Marlins
7/11/2021,Cincinnati Reds,Milwaukee Brewers
7/11/2021,Detroit Tigers,Minnesota Twins
7/11/2021,Pittsburgh Pirates,New York Mets
7/11/2021,Colorado Rockies,San Diego Padres
7/11/2021,Los Angeles Angels,Seattle Mariners
7/11/2021,Washington Nationals,San Francisco Giants
7/11/2021,Toronto Blue Jays,Tampa Bay Rays
7/11/2021,Oakland Athletics,Texas Rangers
7/16/2021,Seattle Mariners,Los Angeles Angels
7/16/2021,Chicago Cubs,Arizona D'Backs
7/16/2021,Tampa Bay Rays,Atlanta Braves
7/16/2021,Houston Astros,Chicago White Sox
7/16/2021,Milwaukee Brewers,Cincinnati Reds
7/16/2021,Los Angeles Dodgers,Colorado Rockies
7/16/2021,Baltimore Orioles,Kansas City Royals
7/16/2021,Boston Red Sox,New York Yankees
7/16/2021,Cleveland Indians,Oakland Athletics
7/16/2021,Miami Marlins,Philadelphia Phillies
7/16/2021,Miami Marlins,Philadelphia Phillies
7/16/2021,New York Mets,Pittsburgh Pirates
7/16/2021,San Francisco Giants,St. Louis Cardinals
7/16/2021,Texas Rangers,Toronto Blue Jays
7/16/2021,San Diego Padres,Washington Nationals
7/17/2021,Seattle Mariners,Los Angeles Angels
7/17/2021,Chicago Cubs,Arizona D'Backs
7/17/2021,Tampa Bay Rays,Atlanta Braves
7/17/2021,Houston Astros,Chicago White Sox
7/17/2021,Milwaukee Brewers,Cincinnati Reds
7/17/2021,Los Angeles Dodgers,Colorado Rockies
7/17/2021,Minnesota Twins,Detroit Tigers
7/17/2021,Minnesota Twins,Detroit Tigers
7/17/2021,Baltimore Orioles,Kansas City Royals
7/17/2021,Boston Red Sox,New York Yankees
7/17/2021,Cleveland Indians,Oakland Athletics
7/17/2021,Miami Marlins,Philadelphia Phillies
7/17/2021,New York Mets,Pittsburgh Pirates
7/17/2021,San Francisco Giants,St. Louis Cardinals
7/17/2021,San Diego Padres,Washington Nationals
7/18/2021,Seattle Mariners,Los Angeles Angels
7/18/2021,Chicago Cubs,Arizona D'Backs
7/18/2021,Tampa Bay Rays,Atlanta Braves
7/18/2021,Houston Astros,Chicago White Sox
7/18/2021,Milwaukee Brewers,Cincinnati Reds
7/18/2021,Los Angeles Dodgers,Colorado Rockies
7/18/2021,Minnesota Twins,Detroit Tigers
7/18/2021,Baltimore Orioles,Kansas City Royals
7/18/2021,Boston Red Sox,New York Yankees
7/18/2021,Cleveland Indians,Oakland Athletics
7/18/2021,Miami Marlins,Philadelphia Phillies
7/18/2021,New York Mets,Pittsburgh Pirates
7/18/2021,San Francisco Giants,St. Louis Cardinals
7/18/2021,Texas Rangers,Toronto Blue Jays
7/18/2021,Texas Rangers,Toronto Blue Jays
7/18/2021,San Diego Padres,Washington Nationals
7/19/2021,Pittsburgh Pirates,Arizona D'Backs
7/19/2021,Minnesota Twins,Chicago White Sox
7/19/2021,Minnesota Twins,Chicago White Sox
7/19/2021,New York Mets,Cincinnati Reds
7/19/2021,Texas Rangers,Detroit Tigers
7/19/2021,Cleveland Indians,Houston Astros
7/19/2021,San Francisco Giants,Los Angeles Dodgers
7/19/2021,Los Angeles Angels,Oakland Athletics
7/19/2021,Chicago Cubs,St. Louis Cardinals
7/19/2021,Baltimore Orioles,Tampa Bay Rays
7/19/2021,Boston Red Sox,Toronto Blue Jays
7/19/2021,Miami Marlins,Washington Nationals
7/20/2021,Pittsburgh Pirates,Arizona D'Backs
7/20/2021,San Diego Padres,Atlanta Braves
7/20/2021,Minnesota Twins,Chicago White Sox
7/20/2021,New York Mets,Cincinnati Reds
7/20/2021,Seattle Mariners,Colorado Rockies
7/20/2021,Texas Rangers,Detroit Tigers
7/20/2021,Cleveland Indians,Houston Astros
7/20/2021,San Francisco Giants,Los Angeles Dodgers
7/20/2021,Kansas City Royals,Milwaukee Brewers
7/20/2021,Philadelphia Phillies,New York Yankees
7/20/2021,Los Angeles Angels,Oakland Athletics
7/20/2021,Chicago Cubs,St. Louis Cardinals
7/20/2021,Baltimore Orioles,Tampa Bay Rays
7/20/2021,Miami Marlins,Washington Nationals
7/21/2021,Pittsburgh Pirates,Arizona D'Backs
7/21/2021,San Diego Padres,Atlanta Braves
7/21/2021,San Diego Padres,Atlanta Braves
7/21/2021,Minnesota Twins,Chicago White Sox
7/21/2021,New York Mets,Cincinnati Reds
7/21/2021,Seattle Mariners,Colorado Rockies
7/21/2021,Texas Rangers,Detroit Tigers
7/21/2021,Cleveland Indians,Houston Astros
7/21/2021,San Francisco Giants,Los Angeles Dodgers
7/21/2021,Kansas City Royals,Milwaukee Brewers
7/21/2021,Philadelphia Phillies,New York Yankees
7/21/2021,Chicago Cubs,St. Louis Cardinals
7/21/2021,Baltimore Orioles,Tampa Bay Rays
7/21/2021,Boston Red Sox,Toronto Blue Jays
7/21/2021,Miami Marlins,Washington Nationals
7/22/2021,New York Yankees,Boston Red Sox
7/22/2021,Tampa Bay Rays,Cleveland Indians
7/22/2021,Texas Rangers,Detroit Tigers
7/22/2021,San Francisco Giants,Los Angeles Dodgers
7/22/2021,San Diego Padres,Miami Marlins
7/22/2021,Los Angeles Angels,Minnesota Twins
7/22/2021,Atlanta Braves,Philadelphia Phillies
7/22/2021,Oakland Athletics,Seattle Mariners
7/22/2021,Chicago Cubs,St. Louis Cardinals
7/23/2021,Washington Nationals,Baltimore Orioles
7/23/2021,New York Yankees,Boston Red Sox
7/23/2021,Arizona D'Backs,Chicago Cubs
7/23/2021,St. Louis Cardinals,Cincinnati Reds
7/23/2021,Tampa Bay Rays,Cleveland Indians
7/23/2021,Texas Rangers,Houston Astros
7/23/2021,Detroit Tigers,Kansas City Royals
7/23/2021,Colorado Rockies,Los Angeles Dodgers
7/23/2021,San Diego Padres,Miami Marlins
7/23/2021,Chicago White Sox,Milwaukee Brewers
7/23/2021,Los Angeles Angels,Minnesota Twins
7/23/2021,Toronto Blue Jays,New York Mets
7/23/2021,Atlanta Braves,Philadelphia Phillies
7/23/2021,Oakland Athletics,Seattle Mariners
7/23/2021,Pittsburgh Pirates,San Francisco Giants
7/24/2021,Washington Nationals,Baltimore Orioles
7/24/2021,New York Yankees,Boston Red Sox
7/24/2021,Arizona D'Backs,Chicago Cubs
7/24/2021,St. Louis Cardinals,Cincinnati Reds
7/24/2021,Tampa Bay Rays,Cleveland Indians
7/24/2021,Texas Rangers,Houston Astros
7/24/2021,Detroit Tigers,Kansas City Royals
7/24/2021,Colorado Rockies,Los Angeles Dodgers
7/24/2021,San Diego Padres,Miami Marlins
7/24/2021,Chicago White Sox,Milwaukee Brewers
7/24/2021,Los Angeles Angels,Minnesota Twins
7/24/2021,Toronto Blue Jays,New York Mets
7/24/2021,Atlanta Braves,Philadelphia Phillies
7/24/2021,Oakland Athletics,Seattle Mariners
7/24/2021,Pittsburgh Pirates,San Francisco Giants
7/25/2021,Washington Nationals,Baltimore Orioles
7/25/2021,New York Yankees,Boston Red Sox
7/25/2021,Arizona D'Backs,Chicago Cubs
7/25/2021,St. Louis Cardinals,Cincinnati Reds
7/25/2021,Tampa Bay Rays,Cleveland Indians
7/25/2021,Texas Rangers,Houston Astros
7/25/2021,Detroit Tigers,Kansas City Royals
7/25/2021,Colorado Rockies,Los Angeles Dodgers
7/25/2021,San Diego Padres,Miami Marlins
7/25/2021,Chicago White Sox,Milwaukee Brewers
7/25/2021,Los Angeles Angels,Minnesota Twins
7/25/2021,Toronto Blue Jays,New York Mets
7/25/2021,Atlanta Braves,Philadelphia Phillies
7/25/2021,Oakland Athletics,Seattle Mariners
7/25/2021,Pittsburgh Pirates,San Francisco Giants
7/26/2021,Colorado Rockies,Los Angeles Angels
7/26/2021,Toronto Blue Jays,Boston Red Sox
7/26/2021,Cincinnati Reds,Chicago Cubs
7/26/2021,Chicago White Sox,Kansas City Royals
7/26/2021,Detroit Tigers,Minnesota Twins
7/26/2021,Atlanta Braves,New York Mets
7/26/2021,Atlanta Braves,New York Mets
7/26/2021,Washington Nationals,Philadelphia Phillies
7/26/2021,Houston Astros,Seattle Mariners
7/27/2021,Colorado Rockies,Los Angeles Angels
7/27/2021,Miami Marlins,Baltimore Orioles
7/27/2021,Cincinnati Reds,Chicago Cubs
7/27/2021,St. Louis Cardinals,Cleveland Indians
7/27/2021,Chicago White Sox,Kansas City Royals
7/27/2021,Detroit Tigers,Minnesota Twins
7/27/2021,Atlanta Braves,New York Mets
7/27/2021,Washington Nationals,Philadelphia Phillies
7/27/2021,Milwaukee Brewers,Pittsburgh Pirates
7/27/2021,Oakland Athletics,San Diego Padres
7/27/2021,Houston Astros,Seattle Mariners
7/27/2021,Los Angeles Dodgers,San Francisco Giants
7/27/2021,New York Yankees,Tampa Bay Rays
7/27/2021,Arizona D'Backs,Texas Rangers
7/28/2021,Colorado Rockies,Los Angeles Angels
7/28/2021,Miami Marlins,Baltimore Orioles
7/28/2021,Toronto Blue Jays,Boston Red Sox
7/28/2021,Toronto Blue Jays,Boston Red Sox
7/28/2021,Cincinnati Reds,Chicago Cubs
7/28/2021,St. Louis Cardinals,Cleveland Indians
7/28/2021,Chicago White Sox,Kansas City Royals
7/28/2021,Detroit Tigers,Minnesota Twins
7/28/2021,Atlanta Braves,New York Mets
7/28/2021,Milwaukee Brewers,Pittsburgh Pirates
7/28/2021,Oakland Athletics,San Diego Padres
7/28/2021,Houston Astros,Seattle Mariners
7/28/2021,Los Angeles Dodgers,San Francisco Giants
7/28/2021,New York Yankees,Tampa Bay Rays
7/28/2021,Arizona D'Backs,Texas Rangers
7/29/2021,Oakland Athletics,Los Angeles Angels
7/29/2021,Toronto Blue Jays,Boston Red Sox
7/29/2021,Cincinnati Reds,Chicago Cubs
7/29/2021,Baltimore Orioles,Detroit Tigers
7/29/2021,Chicago White Sox,Kansas City Royals
7/29/2021,Atlanta Braves,New York Mets
7/29/2021,Washington Nationals,Philadelphia Phillies
7/29/2021,Washington Nationals,Philadelphia Phillies
7/29/2021,Milwaukee Brewers,Pittsburgh Pirates
7/29/2021,Colorado Rockies,San Diego Padres
7/29/2021,Los Angeles Dodgers,San Francisco Giants
7/29/2021,New York Yankees,Tampa Bay Rays
7/30/2021,Oakland Athletics,Los Angeles Angels
7/30/2021,Los Angeles Dodgers,Arizona D'Backs
7/30/2021,Milwaukee Brewers,Atlanta Braves
7/30/2021,Cleveland Indians,Chicago White Sox
7/30/2021,Baltimore Orioles,Detroit Tigers
7/30/2021,New York Yankees,Miami Marlins
7/30/2021,Cincinnati Reds,New York Mets
7/30/2021,Philadelphia Phillies,Pittsburgh Pirates
7/30/2021,Colorado Rockies,San Diego Padres
7/30/2021,Houston Astros,San Francisco Giants
7/30/2021,Minnesota Twins,St. Louis Cardinals
7/30/2021,Boston Red Sox,Tampa Bay Rays
7/30/2021,Seattle Mariners,Texas Rangers
7/30/2021,Kansas City Royals,Toronto Blue Jays
7/30/2021,Chicago Cubs,Washington Nationals
7/31/2021,Oakland Athletics,Los Angeles Angels
7/31/2021,Los Angeles Dodgers,Arizona D'Backs
7/31/2021,Milwaukee Brewers,Atlanta Braves
7/31/2021,Cleveland Indians,Chicago White Sox
7/31/2021,Baltimore Orioles,Detroit Tigers
7/31/2021,New York Yankees,Miami Marlins
7/31/2021,Cincinnati Reds,New York Mets
7/31/2021,Philadelphia Phillies,Pittsburgh Pirates
7/31/2021,Colorado Rockies,San Diego Padres
7/31/2021,Houston Astros,San Francisco Giants
7/31/2021,Minnesota Twins,St. Louis Cardinals
7/31/2021,Boston Red Sox,Tampa Bay Rays
7/31/2021,Seattle Mariners,Texas Rangers
7/31/2021,Kansas City Royals,Toronto Blue Jays
7/31/2021,Chicago Cubs,Washington Nationals
8/1/2021,Oakland Athletics,Los Angeles Angels
8/1/2021,Los Angeles Dodgers,Arizona D'Backs
8/1/2021,Milwaukee Brewers,Atlanta Braves
8/1/2021,Cleveland Indians,Chicago White Sox
8/1/2021,Baltimore Orioles,Detroit Tigers
8/1/2021,New York Yankees,Miami Marlins
8/1/2021,Cincinnati Reds,New York Mets
8/1/2021,Philadelphia Phillies,Pittsburgh Pirates
8/1/2021,Colorado Rockies,San Diego Padres
